Date,Time,UserID,Location,PostContent,Sentiment,Likes,Comments,EngagementScore,ImageDescription,TravelType
7/18/2025,13:08,U82725,Auckland,"Between meetings in Auckland, took a moment to enjoy sunset ferry on waitematā harbour.",Neutral,394298,4232,245042.8,Sunset ferry on Waitematā Harbour,Business
6/7/2025,11:07,U95143,Copenhagen,Exploring the beauty of Copenhagen – bicycles along cobbled street.,Neutral,425524,2430,260174.4,Bicycles along cobbled street,Leisure
6/11/2025,18:02,U67621,New York,Adventuring through New York – just look at times square crowd at night!,Neutral,333628,3425,207026.8,Times Square crowd at night,Adventure
7/18/2025,10:11,U46702,Venice,"Between meetings in Venice, took a moment to enjoy bridge of sighs at dusk.",Positive,258769,4406,164073.4,Bridge of Sighs at dusk,Business
6/12/2025,7:04,U64032,Brussels,Business isn’t all boring – check out grand place at night in Brussels.,Neutral,258817,507,156304.2,Grand Place at night,Business
7/5/2025,10:06,U35524,Tokyo,Adventuring through Tokyo – just look at shibuya crossing at rush hour!,Neutral,272509,4248,172001.4,Shibuya Crossing at rush hour,Adventure
6/7/2025,7:31,U27922,Manila,Vacation vibes in Manila! Intramuros colonial wall made it unforgettable.,Positive,172868,4299,112318.8,Intramuros colonial wall,Leisure
6/2/2025,2:28,U82503,Tel Aviv,Adrenaline + views = Tel Aviv. Loved old jaffa port at dusk!,Neutral,99001,3431,66262.6,Old Jaffa port at dusk,Adventure
7/26/2025,3:34,U43154,Auckland,Adventuring through Auckland – just look at sunset ferry on waitematā harbour!,Positive,395132,3028,243135.2,Sunset ferry on Waitematā Harbour,Adventure
6/12/2025,20:46,U32296,Brussels,Exploring the beauty of Brussels – grand place at night.,Positive,365429,3650,226557.4,Grand Place at night,Leisure
6/13/2025,5:50,U58153,Vancouver,Business isn’t all boring – check out snow-capped mountains behind skyline in Vancouver.,Negative,265198,3163,165444.8,Snow-capped mountains behind skyline,Business
7/8/2025,1:20,U71837,Los Angeles,Adventuring through Los Angeles – just look at taco stand at night!,Neutral,445550,3498,274326,Taco stand at night,Adventure
6/1/2025,21:07,U48420,Paris,Vacation vibes in Paris! Street artist at Montmartre made it unforgettable.,Negative,486000,999,293598,Street artist at Montmartre,Leisure
7/15/2025,13:10,U82171,Tallinn,Business isn’t all boring – check out medieval towers and stone walls in Tallinn.,Neutral,339134,1334,206148.4,Medieval towers and stone walls,Business
6/13/2025,22:26,U73937,Los Angeles,Relaxing in Los Angeles with views like this: hollywood sign from afar.,Neutral,467149,4295,288879.4,Hollywood sign from afar,Leisure
7/4/2025,6:43,U56398,Manila,Exploring the beauty of Manila – jeepneys on crowded street.,Positive,415654,2868,255128.4,Jeepneys on crowded street,Leisure
7/7/2025,19:52,U98121,Barcelona,Exploring the beauty of Barcelona – sagrada familia at sunset.,Positive,297808,2423,183530.8,Sagrada Familia at sunset,Leisure
6/3/2025,22:28,U41043,Tokyo,"Between meetings in Tokyo, took a moment to enjoy cherry blossoms in full bloom.",Positive,125518,2294,79898.8,Cherry blossoms in full bloom,Business
6/23/2025,23:48,U64746,Stockholm,Vacation vibes in Stockholm! Royal Palace changing of guards made it unforgettable.,Neutral,314391,1630,191894.6,Royal Palace changing of guards,Leisure
7/20/2025,20:07,U68381,Stockholm,Business isn’t all boring – check out gamla stan alleyways in Stockholm.,Neutral,293734,992,178224.4,Gamla Stan alleyways,Business
7/22/2025,21:40,U47665,Rome,Thrill-seeking in Rome! Colosseum under golden light was the highlight.,Positive,252223,3799,158931.8,Colosseum under golden light,Adventure
7/7/2025,6:05,U44463,Amman,"Between meetings in Amman, took a moment to enjoy rainbow street cafés.",Positive,212262,98,127553.2,Rainbow Street cafés,Business
7/27/2025,22:13,U32639,Warsaw,Vacation vibes in Warsaw! Palace of Culture and Science at night made it unforgettable.,Positive,275133,4468,174015.8,Palace of Culture and Science at night,Leisure
6/22/2025,16:52,U29653,Tallinn,Adrenaline + views = Tallinn. Loved cafés in old town street!,Positive,151577,111,91168.2,Cafés in old town street,Adventure
7/3/2025,5:02,U76216,Prague,Relaxing in Prague with views like this: vltava river reflections at night.,Positive,189883,3487,120903.8,Vltava River reflections at night,Leisure
7/13/2025,10:01,U23231,Budapest,Quick trip to Budapest for work – still managed to catch this: thermal bath under steam.,Positive,292185,4802,184915,Thermal bath under steam,Business
6/8/2025,22:50,U27502,Berlin,Vacation vibes in Berlin! Brandenburg Gate in sunlight made it unforgettable.,Neutral,95747,62,57572.2,Brandenburg Gate in sunlight,Leisure
7/13/2025,6:25,U11129,Vilnius,Business isn’t all boring – check out street art murals downtown in Vilnius.,Neutral,206907,2129,128402.2,Street art murals downtown,Business
7/11/2025,9:52,U11710,Istanbul,Relaxing in Istanbul with views like this: spices in grand bazaar.,Positive,26004,4486,24574.4,Spices in Grand Bazaar,Leisure
7/19/2025,5:33,U11350,Zurich,Adrenaline + views = Zurich. Loved conference center interior!,Positive,168770,4456,110174,Conference center interior,Adventure
6/8/2025,9:16,U49459,Munich,Quick trip to Munich for work – still managed to catch this: beer steins at oktoberfest.,Positive,207579,4886,134319.4,Beer steins at Oktoberfest,Business
6/2/2025,13:10,U23543,Jakarta,Adventuring through Jakarta – just look at national monument in central park!,Neutral,128613,4174,85515.8,National Monument in central park,Adventure
7/25/2025,19:22,U32932,Istanbul,Adrenaline + views = Istanbul. Loved bosporus ferry ride!,Neutral,111970,3953,75088,Bosporus ferry ride,Adventure
6/8/2025,10:32,U14644,Istanbul,Vacation vibes in Istanbul! Blue Mosque interior lights made it unforgettable.,Positive,301326,1915,184625.6,Blue Mosque interior lights,Leisure
